Problem,Win Length,Extra Routes,Times,Dist,Dels/route,Len Route,Time Route
B-n43-k6,14,0.1,2288.3,2524.837833,6.363636364,60.11518651,54.48333333
B-n44-k7,14,0.128571429,2641.1,2883.926898,5.443037975,67.06806739,61.42093023
B-n45-k5,14,0.44,2391.5,2619.025438,6.111111111,59.5233054,54.35227273
B-n45-k6,14,0.35,2228.6,2391.78561,5.432098765,54.35876385,50.65
B-n50-k7,14,0.142857143,2522.4,2759.162599,6.125,56.30944079,51.47755102
B-n50-k8,14,0.15,3815.4,4244.643108,5.326086957,86.62536955,77.86530612
B-n51-k7,14,0.242857143,3290.9,3622.804668,5.747126437,72.45609335,65.818
B-n52-k7,14,0.257142857,2678.3,2939.447486,5.795454545,57.63622522,52.51568627
B-n56-k7,14,0.271428571,2669.9,2955.645304,6.179775281,53.73900553,48.54363636
B-n57-k7,14,0.228571429,4292.2,4848.715784,6.511627907,86.58421042,76.64642857
B-n57-k9,14,0.044444444,4815.1,5390.332615,5.957446809,96.25593955,85.98392857
B-n63-k10,14,0.15,5551.3,6283.25321,5.391304348,101.3427937,89.53709677
B-n64-k9,14,0.3,3165.4,3461.97037,5.384615385,54.95191063,50.24444444
B-n66-k9,14,0.155555556,4962.9,5653.295541,6.25,86.97377756,76.35230769
B-n67-k10,14,0.11,3809.4,4256.507743,5.945945946,64.49254156,57.71818182
B-n68-k9,14,0.111111111,5284,6085.655669,6.7,90.83068163,78.86567164
B-n78-k10,14,0.26,5098.9,5802.363173,6.111111111,75.35536589,66.21948052
B-n31-k5,2,0.64,4706.9,2008.700649,3.658536585,66.9566883,156.8966667
B-n34-k5,2,1.14,5355.6,2711.518032,3.08411215,82.1672131,162.2909091
B-n35-k5,2,1.16,6107.2,3367.762971,3.148148148,99.05185208,179.6235294
B-n38-k6,2,0.9,5572.3,2752.815659,3.245614035,74.4004232,150.6027027
B-n39-k5,2,1.7,5502.1,2288.307145,2.814814815,60.21860909,144.7921053
B-n41-k6,2,1.566666667,6358.3,2857.382655,2.597402597,71.43456637,158.9575
B-n43-k6,2,1.366666667,6359.2,2744.095693,2.957746479,65.33561173,151.4095238
B-n44-k7,2,1.128571429,6898.8,3325.844408,2.88590604,77.34521879,160.4372093
B-n45-k5,2,2.18,7104.1,2921.035042,2.767295597,66.38716004,161.4568182
B-n45-k6,2,1.583333333,6498.1,2701.040527,2.838709677,61.3872847,147.6840909
B-n50-k7,2,1.557142857,7470.2,3143.965634,2.737430168,64.16256397,152.4530612
B-n50-k8,2,1.35,8937.5,4770.74733,2.606382979,97.36219041,182.3979592
B-n51-k7,2,1.8,8849.4,4294.340935,2.551020408,85.88681869,176.988
B-n52-k7,2,1.971428571,7961.7,3448.550309,2.451923077,67.61863351,156.1117647
B-n56-k7,2,2.228571429,8489.4,3331.461105,2.433628319,60.5720201,154.3527273
B-n57-k7,2,1.885714286,9944.5,5512.801002,2.772277228,98.44287504,177.5803571
B-n57-k9,2,1.322222222,11800.5,7290.866845,2.679425837,130.1940508,210.7232143
B-n63-k10,2,1.55,11992.3,7109.371341,2.431372549,114.6672797,193.4241935
B-n64-k9,2,1.677777778,10612.9,3955.199277,2.614107884,62.7809409,168.4587302
B-n66-k9,2,1.788888889,12531.2,6581.918352,2.589641434,101.2602823,192.7876923
B-n67-k10,2,1.51,10477.3,4681.879525,2.629482072,70.93756856,158.7469697
B-n68-k9,2,2.1,12407.6,6834.777095,2.401433692,102.0115984,185.1880597
B-n78-k10,2,1.94,13572.5,6499.393059,2.619047619,84.40770207,176.2662338
B-n31-k5,3,0.62,4011.9,2061.417271,3.703703704,68.71390902,133.73
B-n34-k5,3,1.12,5076.6,2725.440266,3.113207547,82.58909896,153.8363636
B-n35-k5,3,0.98,5346,3189.920755,3.434343434,93.82119868,157.2352941
B-n38-k6,3,0.733333333,4660.9,2652.850714,3.557692308,71.69866795,125.9702703
B-n39-k5,3,1.3,5170.2,2376.313819,3.304347826,62.53457419,136.0578947
B-n41-k6,3,1.3,5964.3,2902.321811,2.898550725,72.55804527,149.1075
B-n43-k6,3,1.416666667,6093,2788.024957,2.896551724,66.38154659,145.0714286
B-n44-k7,3,1.1,6149.6,3168.330473,2.925170068,73.68210403,143.0139535
B-n45-k5,3,1.74,5843.8,2876.876568,3.211678832,65.38355836,132.8136364
B-n45-k6,3,1.083333333,5470.8,2574.024124,3.52,58.50054827,124.3363636
B-n50-k7,3,1.385714286,7020,3149.794437,2.934131737,64.28151912,143.2653061
B-n50-k8,3,1.0375,7902.8,4719.779082,3.006134969,96.32202209,161.2816327
B-n51-k7,3,1.357142857,7946.7,4160.778824,3.03030303,83.21557647,158.934
B-n52-k7,3,1.428571429,6946.3,3365.137398,3,65.98308624,136.2019608
B-n56-k7,3,1.742857143,7684.7,3386.49996,2.864583333,61.57272654,139.7218182
B-n57-k7,3,1.857142857,9029.9,5379.49798,2.8,96.06246392,161.2482143
B-n57-k9,3,1.1,10390.7,6912.739425,2.962962963,123.4417754,185.5482143
B-n63-k10,3,1.26,10786.5,6993.448588,2.743362832,112.7975579,173.9758065
B-n64-k9,3,1.333333333,8606.4,3814.46867,3,60.54712174,136.6095238
B-n66-k9,3,1.444444444,10254,6511.569348,2.954545455,100.17799,157.7538462
B-n67-k10,3,1.26,9113.1,4371.894403,2.920353982,66.24082428,138.0772727
B-n68-k9,3,1.6,10658.1,6866.265696,2.863247863,102.4815775,159.0761194
B-n78-k10,3,1.75,11856.3,6377.260516,2.8,82.82156514,153.9779221
B-n31-k5,4,0.46,3496.2,1956.925402,4.109589041,65.23084673,116.54
B-n34-k5,4,0.78,4068.8,2562.327874,3.707865169,77.64629922,123.2969697
B-n35-k5,4,0.8,4535.2,3141.128936,3.777777778,92.38614517,133.3882353
B-n38-k6,4,0.716666667,4474,2509.304719,3.59223301,67.81904646,120.9189189
B-n39-k5,4,1.08,4476.7,2258.568457,3.653846154,59.43601203,117.8078947
B-n41-k6,4,0.933333333,5183.1,2681.874057,3.448275862,67.04685143,129.5775
B-n43-k6,4,1,4592.9,2576.175246,3.5,61.33750585,109.3547619
B-n44-k7,4,0.785714286,4866.1,3132.421122,3.44,72.84700284,113.1651163
B-n45-k5,4,1.52,5206.2,2744.817177,3.492063492,62.38220858,118.3227273
B-n45-k6,4,0.883333333,4844.3,2528.696634,3.89380531,57.47037804,110.0977273
B-n50-k7,4,1.1,5805.9,2959.537581,3.333333333,60.39872614,118.4877551
B-n50-k8,4,0.7625,6639.3,4456.005426,3.475177305,90.93888625,135.4959184
B-n51-k7,4,1.114285714,6556.3,3971.240466,3.378378378,79.42480932,131.126
