prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n39-k5.vrp,39,475,12,1,3005.244542,3474,6.691397077,13,3178.413611,3,36.53846154
A-n39-k5.vrp,39,475,12,1,3050.788059,3432,5.994404638,11,2847.342203,3,43.18181818
A-n39-k5.vrp,39,475,12,1,3070.216945,3174,6.235821858,12,2962.015383,3,39.58333333
A-n39-k5.vrp,39,475,12,14,2419.851055,2191,3.244889628,5,1541.322573,7,95
A-n39-k5.vrp,39,475,12,14,3444.952639,1978,3.752967282,6,1782.659459,6,79.16666667
A-n39-k6.vrp,39,526,13,1,2833.553202,6031,7.912026092,16,4161.725725,2,32.875
A-n39-k6.vrp,39,526,13,1,3248.073854,3500,5.48293658,11,2884.024641,3,47.81818182
A-n39-k6.vrp,39,526,13,1,3005.059278,3602,4.844091132,9,2547.991936,4,58.44444444
A-n39-k6.vrp,39,526,13,1,2993.282014,3527,5.124741437,10,2695.613996,3,52.6
A-n39-k6.vrp,39,526,13,1,2928.922955,4080,5.63247906,11,2962.683986,3,47.81818182
A-n39-k6.vrp,39,526,13,1,2840.033024,4753,6.492174646,13,3414.883864,3,40.46153846
A-n39-k6.vrp,39,526,13,1,2921.212006,4186,5.67106807,11,2982.981805,3,47.81818182
A-n39-k6.vrp,39,526,13,1,4122.487323,3448,8.775534253,21,4615.931017,1,25.04761905
A-n39-k6.vrp,39,526,13,1,3699.153548,3488,7.13764442,16,3754.400965,2,32.875
A-n39-k6.vrp,39,526,13,1,2969.125001,4006,6.548645675,14,3444.587625,2,37.57142857
A-n39-k6.vrp,39,526,13,14,3386.905546,1938,3.360965682,6,1767.867949,6,87.66666667
A-n39-k6.vrp,39,526,13,14,2497.615504,2189,3.258595084,6,1714.021014,6,87.66666667
A-n39-k6.vrp,39,526,13,14,2407.338615,2162,3.540035395,7,1862.058618,5,75.14285714
A-n44-k7.vrp,44,570,12,1,3408.470447,7173,7.244545688,14,4129.391042,3,40.71428571
A-n44-k7.vrp,44,570,12,1,3596.273413,4336,6.287656122,14,3583.963989,3,40.71428571
A-n44-k7.vrp,44,570,12,1,3495.679162,4360,5.699990284,12,3248.994462,3,47.5
A-n44-k7.vrp,44,570,12,1,3443.952088,4707,6.098846306,13,3476.342394,3,43.84615385
A-n44-k7.vrp,44,570,12,1,3457.542372,4365,5.406197294,11,3081.532458,4,51.81818182
A-n44-k7.vrp,44,570,12,14,2757.093137,2435,3.146631398,6,1793.579897,7,95
A-n44-k7.vrp,44,570,12,14,3770.787049,2305,3.596810675,7,2050.182085,6,81.42857143
A-n44-k7.vrp,44,570,12,14,4049.319312,2423,3.407667297,6,1942.37036,7,95
A-n45-k6.vrp,45,593,13,1,4186.827506,4230,8.890149778,24,5271.858818,1,24.70833333
A-n45-k6.vrp,45,593,13,1,3518.002789,5192,6.040482844,13,3582.006326,3,45.61538462
A-n45-k6.vrp,45,593,13,1,3747.239945,4936,7.105610579,17,4213.627074,2,34.88235294
A-n45-k6.vrp,45,593,13,1,3810.127506,4833,7.35983966,18,4364.384918,2,32.94444444
A-n45-k6.vrp,45,593,13,1,3499.087505,5384,6.101506304,13,3618.193238,3,45.61538462
A-n45-k6.vrp,45,593,13,1,3726.223041,5035,6.58173372,15,3902.968096,3,39.53333333
A-n45-k6.vrp,45,593,13,1,3544.468896,5138,6.304052042,14,3738.302861,3,42.35714286
A-n45-k6.vrp,45,593,13,1,3688.370014,5060,6.582696951,15,3903.539292,3,39.53333333
