Problem,Deliveries,Demand,Avg.Bags.Del,Time Window,Sol. Distance, Sol. Time,Sol. CostDel,Routes,Sol. Cost,Sol. Avg. Dels Route,Sol. Loading Factor
A-n32-k5,32,410,12.0,3,2823.184423438939,3205.0,5.969055067176478,9,2447.312577542356,3,45.55555555555556
A-n32-k5,32,410,12.0,3,2680.573428253396,3322.0,5.585431929525969,8,2290.0270911056473,4,51.24999999999999
A-n32-k5,32,410,12.0,3,2794.63662537466,3547.0,5.327737768704476,7,2184.3724851688353,4,58.57142857142858
A-n32-k5,32,410,12.0,3,2717.634712256736,3267.0,5.969178686180581,9,2447.3632613340383,3,45.55555555555556
A-n32-k5,32,410,12.0,3,2629.64114105558,3757.0,5.783092715862201,8,2371.0680135035027,4,51.24999999999999
A-n32-k5,32,410,12.0,3,2907.296819760227,3204.0,5.592570068077919,8,2292.9537279119468,4,51.24999999999999
A-n32-k5,32,410,12.0,3,2920.57420931286,2724.0,4.9622126402185485,7,2034.507182489605,4,58.57142857142858
A-n32-k5,32,410,12.0,3,2995.7545729504545,2602.0,5.324154353744398,8,2182.903285035203,4,51.24999999999999
A-n32-k5,32,410,12.0,3,2974.058568110295,2677.0,4.554548420655865,6,1867.3648524689047,5,68.33333333333333
A-n32-k5,32,410,12.0,3,3199.712707391407,2619.0,4.590649723816573,6,1882.1663867647949,5,68.33333333333333
A-n32-k5,32,410,12.0,3,2975.830429791417,2665.0,4.549200390940477,6,1865.1721602855957,5,68.33333333333333
0,1,2,3,4,5,6,7,8,9,
Grand front ,2,A-n32-k5.vrp,n,8,obj0Min,2630.0507881594463,obj0Max,3078.859396897407,obj1Min,2398.0,obj1Max,3384.0,obj2Min,4.448357437651211,obj2Max,5.997471774795408
A-n32-k5,32,410,12.0,2,2992.5138771951856,2810.0,5.024692984467894,7,2060.1241236318365,4,58.57142857142858
A-n32-k5,32,410,12.0,2,2871.6609641566934,3029.0,5.097034958064227,7,2089.784332806333,4,58.57142857142858
A-n32-k5,32,410,12.0,2,2951.398327366163,3003.0,5.50710635195571,8,2257.913604301841,4,51.24999999999999
A-n32-k5,32,410,12.0,2,3078.859396897407,2398.0,4.448357437651211,6,1823.8265494369966,5,68.33333333333333
A-n32-k5,32,410,12.0,2,2974.0959352402515,2928.0,5.8769981083490475,9,2409.5692244231095,3,45.55555555555556
A-n32-k5,32,410,12.0,2,2630.0507881594463,3384.0,5.601258395645501,8,2296.5159422146553,4,51.24999999999999
A-n32-k5,32,410,12.0,2,2681.38006641895,3239.0,5.545174311636628,8,2273.5214677710173,4,51.24999999999999
A-n32-k5,32,410,12.0,2,2664.644680906985,3356.0,5.997471774795408,9,2458.9634276661172,3,45.55555555555556
